timestamp,NO1B(Hz),NO1B(g),FFCCV(Hz),FFCCV(g),TCF(Hz),TCF(g),N1(rpm),N2(rpm),VCB_NO1B_N1Amp
-1,0,0,0,0,0,0,0,0,
-2,1,2,3,4,5,6,7,8,
0,20,0.1,20,0.1,20,0.1,1500,15920,
4,20,0.5,20,0.5,20,0.5,2500,15920,
8,20,1,20,1,20,1,3500,15920,
12,20,2,20,2,20,2,5000,15920,
